"","tau1","tau2","tau3","tau4","p1","p2","p3","p4","g1","g2","g3","g4","13_stable"
"1",0.25880100418606,0.271560696483839,0.829615514147882,0.976977624169006,0.509243939064375,0.811642474030295,0.495075334981859,0.184572096446741,0.632097698988771,0.852229192456313,0.881531131652035,0.955894313252794,0
"2",0.926792723327735,0.463423579474488,0.268116984640632,0.0914714293579,0.813956609069342,0.0398941324339875,0.0848092024925659,0.496642072578423,0.382588315086217,0.855214766614813,0.539077996092098,0.770323423087975,1
"3",0.891799392712108,0.878795254885062,0.268005181667831,0.0751707976601374,0.425651938776601,0.52836679215063,0.481863999862507,0.719669706805846,0.118989821473921,0.754439624697737,0.831000040704177,0.0629799485429548,0
"4",0.0227001894541376,0.754704033746346,0.419622546668269,0.193714682501083,0.556117909103366,0.648372370692805,0.0406704702436983,0.668412240888787,0.417083925396544,0.975575927302987,0.925677210146669,0.329180722975917,0
"5",0.277230048275562,0.748300877984152,0.467747059166227,0.985064694137894,0.453829770348261,0.582991131345218,0.102655274469696,0.963810645013119,0.786481084359065,0.42678240298218,0.638883027599819,0.811552512210425,0
"6",0.68413907172409,0.90625069316131,0.345656873201907,0.396602422041657,0.664921375161144,0.0951816426217046,0.886440623927892,0.0651999437948973,0.222947004305493,0.0293471203077981,0.518807839651961,0.442048489703185,1
"7",0.65370932257855,0.343701851034121,0.676782307187476,0.875683223331267,0.190299448847872,0.923668083685122,0.527457381363004,0.950677272878833,0.134621032872736,0.366277192043454,0.370546197045196,0.34382698273996,0
"8",0.679328175008449,0.0925275625883941,0.54940495374099,0.775856140618706,0.383458975941881,0.834049640206763,0.542331288480189,0.473994932217372,0.338315774436565,0.613912896990381,0.718672469157919,0.3479476196403,0
"9",0.441015011832049,0.369233541638165,0.102939207439714,0.340385790951857,0.574219650947906,0.393088046298979,0.507870125804433,0.404810038182729,0.231279655269857,0.210877959020676,0.120943281195808,0.455216559241506,1
"10",0.9833689480851,0.0961799523533885,0.975828757431078,0.751780777222978,0.734500582616435,0.00568588251986355,0.76160308623661,0.0808932052772393,0.343548938614559,0.52044088647477,0.781096696690916,0.0697275713600666,0
"11",0.571586696938418,0.655887571707622,0.604753578454762,0.00345453774870648,0.173874774234589,0.865051809284884,0.5887334343472,0.994902199964492,0.19981132821982,0.540121327742369,0.120437884724888,0.740785041290882,1
"12",0.513809082965361,0.791012711642388,0.799521671561348,0.659942553369704,0.916655472846616,0.018120693129455,0.100416600521216,0.209628230359447,0.326303463767879,0.130031435617542,0.314855562171659,0.609359914586855,0
"13",0.117489402008246,0.256754211191846,0.0335839972266638,0.388603265120212,0.506720984603883,0.343387357052146,0.479616272522018,0.675451160656625,0.894477425654001,0.859564443695105,0.267248515689775,0.0290363059576488,1
"14",0.847571262405908,0.822638063848047,0.215733090410637,0.992353274762054,0.772829698619761,0.127528269015778,0.555302854281176,0.0559370603871216,0.592038935678202,0.243111798569045,0.320328225577473,0.44442877474523,0
"15",0.0664634252671861,0.254764243793961,0.889629562588929,0.710404420477608,0.805985352731876,0.1025558007712,0.424814306229808,0.116742795334499,0.318216496928146,0.499130620940902,0.57788598998016,0.657290612605314,0
"16",0.686471321999476,0.407818587707042,0.450075607546687,0.877774399969686,0.409467095778961,0.691766339578327,0.394912066834292,0.689436869987935,0.695937339565093,0.605659602696827,0.440329388831743,0.889686476945616,0
"17",0.46863875275604,0.798818365798456,0.882495937933705,0.546804977237172,0.813836023190771,0.212348605728624,0.0819292228699023,0.327425460125525,0.269128591793085,0.271452922903132,0.884109192090506,0.873142496107894,0
"18",0.383425775122629,0.20410632206904,0.0831346351112096,0.94283589808107,0.54934623505563,0.353779427720582,0.155348820049596,0.867637046605381,0.790320554937005,0.832468006467428,0.913521462306457,0.783189915419946,1
"19",0.931217414412646,0.781065953612892,0.193131220249718,0.29147457768975,0.700304646955035,0.595511794885694,0.168592359441353,0.181733719946744,0.827501794722962,0.698185730773065,0.117339571914533,0.490529559648611,0
"20",0.361225123234029,0.91379230268689,0.585734312655176,0.609716028158475,0.883128976188226,0.203233476849372,0.0797877803499862,0.140867964675521,0.828751817338993,0.59135987170585,0.16910604626591,0.681583088736303,0
"21",0.860762189394263,0.535089160662794,0.46581442883852,0.721734997150445,0.290917238978175,0.402164243846186,0.713830789201872,0.998532400377612,0.573721665326108,0.98284691424889,0.205823455729177,0.425440929602204,0
"22",0.724562379271019,0.500335223866397,0.0446092750112697,0.0257318857899092,0.558993693357587,0.38050324024805,0.383361667388476,0.585366000028231,0.395297798949589,0.538074909022886,0.0942951907115337,0.0281315311805758,1
"23",0.425431494822007,0.154712354865691,0.843529844105914,0.743402952903089,0.649312590744984,0.249020890957736,0.158822473359102,0.683535815754684,0.378740162173117,0.0751078285524273,0.121939975592825,0.429469387315052,1
"24",0.576121682481185,0.583489997781441,0.578529577573992,0.0606872746002985,0.524455511769746,0.673658808613167,0.613998189975801,0.160199206929432,0.316303662038404,0.0822213048965672,0.525099945820315,0.477887147254039,1
"25",0.710894100201182,0.761432352706505,0.117943208715787,0.777993525366732,0.463505416944618,0.414750888144793,0.36697279075286,0.840103742113014,0.93278477786767,0.923968172005421,0.814975239086088,0.0531036443232294,0
"26",0.599208578608987,0.214084335933886,0.122290024374226,0.490942746279278,0.439018637761519,0.429353680784325,0.378098177591593,0.884280305863557,0.12450180529749,0.37735029003079,0.293167218645976,0.214293093624189,1
"27",0.567963385261705,0.0627557607529136,0.0853745203885756,0.871399227373057,0.580728555337408,0.624591652099937,0.417047442382615,0.245564498847508,0.860887874073015,0.0966276458369872,0.30866413435434,0.696777577666691,0
"28",0.0238226631463967,0.623747678605175,0.607275623047647,0.030154625923696,0.310752582880282,0.541428325208366,0.874881166398086,0.641607426040722,0.443647204729144,0.0118705673078152,0.180909825894766,0.629105507118373,1
"29",0.137600823516646,0.686360381074555,0.650211666003332,0.491545409737867,0.488038714824195,0.541025294874518,0.78725422821139,0.223529996409546,0.0817414036136528,0.115880991166975,0.128083707113231,0.829954437187758,1
"30",0.898372911396047,0.0601591553863309,0.52402684828963,0.938212421150759,0.425647570556882,0.557839765052733,0.230679764782932,0.94139085878835,0.21433163501408,0.767053515309244,0.249462942354391,0.180653323821736,1
"31",0.41870076870181,0.174683516010387,0.323846536873616,0.136369820799618,0.319765878746028,0.306392213041892,0.745223276882761,0.980549612882172,0.686989014805215,0.366154991524296,0.773787792575345,0.624908001173775,0
